"","Category","variable","mean","sd","median","q25","q75","min","max"
"60","Diet","Sausage_as_main_dish",0.124922535284082,0.113544304174302,0.08,0.08,0.14,0,4
"61","Diet","Sausage_liver_pate_on_bread",0.258840923902336,0.383260475912633,0.14,0.08,0.36,0,4
"62","Diet","Smoked_fish_or_meat",0.0405550638473866,0.101610767829652,0.003,0.003,0.08,0,4
"63","Diet","Sodas",0.242022302641783,0.413063253722359,0.08,0.08,0.36,0,4
"64","Diet","Steak",0.121561908700822,0.118735436471313,0.08,0.08,0.14,0,4
"65","Diet","Strong_beer",0.0414758103706767,0.0812813031930518,0.003,0,0.08,0,4
"66","Diet","Sugar_honey_marmelade_jam",0.550733392946454,0.845335644995136,0.14,0.08,0.7,0,4
"67","Diet","Sweets",0.221317913457065,0.285695515833854,0.14,0.08,0.36,0,4
"68","Diet","Tea",0.580813720725844,0.806439739494506,0.14,0.08,1,0,4
"69","Diet","Tomato_cucumber",0.568376622033811,0.514137536201129,0.36,0.36,0.7,0,4
"70","Diet","White_bread",0.506199087616132,0.618360527592972,0.36,0.08,0.7,0,4
"71","Diet","White_meat_poultry",0.111491723103965,0.123075116306384,0.08,0.08,0.14,0,4
"72","Diet","Whole_grain_crisp_bread",1.3289748125937,1.03665189882761,1,0.36,2.5,0,4
"73","Diet","Whole_grain_soft_bread",0.606677206224474,0.70286279812613,0.36,0.08,1,0,4
"74","Diet","Whole_wheat_rye_barley_porridge",0.199480986950789,0.329664310495404,0.08,0.003,0.14,0,4
"75","Diet","Wine",0.06703877371659,0.107166055256736,0.08,0.003,0.08,0,4
"76","Diet","Yoghurt_3",0.364849247789898,0.434942744622658,0.14,0.08,0.7,0,4
"77","Diet","Yoghurt_low_fat",0.211252908028744,0.372209809119804,0.08,0.003,0.14,0,4
"78","Lifestyle and environment","Change_in_appetite",0.00854530750373204,0.978936149382867,0.711388331478336,-0.251634035902005,0.711388331478336,-4.10372350542337,0.711388331478336
"79","Lifestyle and environment","Change_in_confidence",-0.000000000000000316439971095409,1.00000000000008,0.396723159587649,-0.387077162580779,0.396723159587649,-3.52227845125449,1.18052348175608
"80","Lifestyle and environment","Change_in_energy",-0.0000000000000000496053807629753,0.999999999999718,-0.0401275600197198,-0.761208323303594,0.680953203264154,-2.92445061315522,1.40203396654803
"81","Lifestyle and environment","Change_in_fitness",0.000000000000000201216928585284,1.00000000000004,0.276420399030726,-0.431779423332919,0.984620221394372,-2.55637889042386,1.69282004375802
"82","Lifestyle and environment","Change_in_hearing",-0.000000000000000127666022152898,1.00000000000009,0.246872310622016,-0.469396771185347,0.963141392429379,-3.3344730984148,0.963141392429379
"83","Lifestyle and environment","Change_in_memory",-0.000000000000000306093200567459,0.999999999999746,0.432135776080699,-0.355924870981855,0.432135776080699,-3.50816745923207,1.22019642314325
"84","Lifestyle and environment","Change_in_mood",0.0000000000000000760070066975492,0.999999999999706,0.34941790769848,-0.457331285635702,1.15616710103266,-3.68432805897243,1.15616710103266
"85","Lifestyle and environment","Change_in_patience",0.000000000000000114470182657496,1.00000000000008,0.510887270233694,-0.254101508411748,0.510887270233694,-3.31405662299351,1.27587604887914
"86","Lifestyle and environment","Change_in_sleep",0.0000000000000000844960310400393,1.00000000000008,0.41560951957883,-0.818477918166691,1.03265323845159,-2.66960907478497,1.03265323845159
"87","Lifestyle and environment","Change_in_vision",0.0000000000000000679121151554056,0.999999999999722,-0.136107323337687,-0.880327078501465,0.608112431826091,-3.1129863439928,1.35233218698987
"88","Lifestyle and environment","Feel_appreciated_inside_home",-0.000000000000000139400109978518,1.00000000000015,-0.0739058977685043,-0.0739058977685043,0.795079218508115,-4.4188314791516,0.795079218508115
"89","Lifestyle and environment","Feel_appreciated_outside_home",-0.000000000000000283786904668998,1.0000000000001,0.338764630242437,-0.491114654934238,0.338764630242437,-3.81063179564094,1.16864391541911
"90","Lifestyle and environment","Satisfaction_familiy",0.000000000000000316282531545696,1.00000000000025,-0.0402301538506406,-0.0402301538506406,0.764323651693898,-4.06299918157333,0.764323651693898
"91","Lifestyle and environment","Satisfaction_finances",0.0000000000000000740203134509625,1.00000000000006,0.458333876702003,-0.864861384185982,0.458333876702003,-2.84965427551796,1.119931507146
"92","Lifestyle and environment","Satisfaction_housing",-0.000000000000000311011352262793,0.999999999999902,0.72282036710646,-0.174553341527133,0.72282036710646,-4.6614218846951,0.72282036710646
"93","Lifestyle and environment","Satisfaction_leasure_time",-0.000000000000000117584358447644,1.00000000000001,0.336737232524139,-0.354313040885239,1.02778750593352,-3.11851413452275,1.02778750593352
"94","Lifestyle and environment","Satisfaction_work",0.000000000000000176288689032114,1.0000000000001,-0.0656124439738916,-0.67613694988346,0.544912061935677,-2.50771046761216,1.15543656784524
